ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.7896,-0.0813,9.8241,-0.7718,-0.0809,9.7759,-0.0005,-0.0068,0.0019,0.0015,-0.0005,0.002,30,-41.25,-26.76,-41.23,121.77,0.47,4.51,5,24.537,,,,NaN,,,,0 / 0,16006,2018-08-11 08:38:42:944
-0.7765,-0.0909,9.8133,-0.7734,-0.0797,9.7758,-0.0017,-0.0107,-0.0091,0.0015,-0.0005,0.0007,30,-41.4,-26.51,-39.16,121.84,0.46,4.52,5,25.066,,,,NaN,,,,0 / 0,16506,2018-08-11 08:38:43:444
-0.7801,-0.0837,9.8205,-0.773,-0.0779,9.7758,-0.0048,-0.0057,-0.0085,0.0015,-0.0005,0.0007,30,-41.25,-26.76,-41.23,121.76,0.45,4.52,5,21.712,,,,NaN,,,,0 / 0,17007,2018-08-11 08:38:43:945
-0.7753,-0.0826,9.8372,-0.7692,-0.0779,9.7761,-0.0024,-0.0047,0.0056,0.0015,-0.0005,0.002,30,-41.23,-26.49,-40.05,120.85,0.46,4.5,5,22.636,,,,NaN,,,,0 / 0,17507,2018-08-11 08:38:44:445
-0.7705,-0.0933,9.8372,-0.7737,-0.0804,9.7758,0.0032,-0.0048,-0.0101,-0.001,-0.0005,0.0007,30,-42.29,-26.8,-38.86,121.26,0.46,4.53,5,22.76,,,,NaN,,,,0 / 0,18007,2018-08-11 08:38:44:945
-0.7825,-0.0826,9.8384,-0.774,-0.0815,9.7757,0.0021,0.0003,0.0072,0.0015,-0.0005,0.0007,30,-42.12,-26.79,-39.75,121.23,0.48,4.53,5,21.958,,,,NaN,,,,0 / 0,18507,2018-08-11 08:38:45:445
-0.7837,-0.0849,9.8324,-0.773,-0.0828,9.7758,-0.0054,-0.0029,0.0007,0.0015,-0.0005,0.0007,30,-41.58,-25.88,-40.62,120.27,0.49,4.52,5,23.373,,,,NaN,,,,0 / 0,19007,2018-08-11 08:38:45:945
-0.7813,-0.0933,9.8289,-0.7734,-0.0833,9.7758,-0.0033,-0.0097,-0.0056,0.0015,-0.0005,-0.0005,30,-41.06,-26.47,-40.93,120.82,0.48,4.52,5,24.312,,,,NaN,,,,0 / 0,19506,2018-08-11 08:38:46:444
-0.7801,-0.0873,9.8145,-0.7745,-0.082,9.7757,0.0063,-0.002,-0.0175,0.0015,-0.0005,0.0007,30,-41.08,-27.08,-40.35,121.8,0.48,4.53,5,20.326,,,,NaN,,,,0 / 0,20007,2018-08-11 08:38:46:945
-0.7717,-0.0885,9.8277,-0.7747,-0.0792,9.7757,-0.005,-0.0042,-0.0059,0.0003,-0.0005,0.0007,30,-41.62,-27.36,-41.24,121.19,0.46,4.53,5,21.242,,,,NaN,,,,0 / 0,20507,2018-08-11 08:38:47:445
