ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-1.279,-0.4833,9.836,-1.247,-0.4739,9.7155,-0.0014,0.0055,-0.0056,0.0003,0.0007,-0.0005,80,-29.07,-39.7,-40.65,140.85,2.77,7.31,5,30.52,,,,NaN,,,,0 / 0,2982006,2018-08-11 09:28:08:944
-1.2766,-0.4821,9.836,-1.2486,-0.4738,9.7153,-0.0093,-0.0014,-0.0047,0.0003,0.0007,-0.0005,80,-29.43,-40,-40.66,140.85,2.77,7.31,5,23.205,,,,NaN,,,,0 / 0,2982506,2018-08-11 09:28:09:444
-1.2766,-0.4714,9.8301,-1.2542,-0.4703,9.7147,-0.0065,0.0047,-0.0072,0.0003,0.0007,-0.0005,80,-29.25,-40.02,-39.77,140.89,2.75,7.36,5,28.217,,,,NaN,,,,0 / 0,2983007,2018-08-11 09:28:09:945
-1.2694,-0.4809,9.8336,-1.2547,-0.4734,9.7145,0.0018,-0.0009,0.0073,0.0003,-0.0005,-0.0005,80,-28.5,-39.15,-38.58,140.29,2.77,7.36,5,26.261,,,,NaN,,,,0 / 0,2983508,2018-08-11 09:28:10:446
-1.2694,-0.4774,9.8372,-1.2478,-0.4749,9.7153,0.0114,0.0006,0.0123,0.0003,-0.0005,-0.0005,80,-29.1,-40.91,-40.08,141.57,2.78,7.34,5,25.967,,,,NaN,,,,0 / 0,2984007,2018-08-11 09:28:10:945
-1.2742,-0.4726,9.836,-1.2499,-0.4738,9.7151,-0.0071,0.0039,-0.0026,0.0003,0.0007,-0.0005,80,-28.9,-40.01,-40.36,140.92,2.77,7.32,5,23.381,,,,NaN,,,,0 / 0,2984507,2018-08-11 09:28:11:445
-1.2586,-0.4786,9.8336,-1.246,-0.4757,9.7155,0.0073,0.0025,0.0097,0.0003,-0.0005,-0.0005,80,-29.61,-40.31,-39.78,140.11,2.78,7.32,5,22.75,,,,NaN,,,,0 / 0,2985008,2018-08-11 09:28:11:946
-1.2443,-0.4606,9.8552,-1.2503,-0.4767,9.7149,0.0011,-0.0014,-0.0056,0.0003,0.0007,-0.0005,80,-28.9,-40.01,-40.36,140.92,2.79,7.33,5,21.35,,,,NaN,,,,0 / 0,2985506,2018-08-11 09:28:12:444
-1.2551,-0.4738,9.8456,-1.2481,-0.4733,9.7154,0.0102,0.0068,0.0012,0.0003,-0.0005,-0.0005,80,-28.37,-40.01,-40.66,141.67,2.77,7.33,5,21.852,,,,NaN,,,,0 / 0,2986007,2018-08-11 09:28:12:945
-1.2694,-0.4821,9.8289,-1.2496,-0.4727,9.7152,-0.0035,-0.0036,-0.0079,0.0003,-0.0005,-0.0005,80,-28.72,-39.71,-40.65,140.84,2.76,7.33,5,20.138,,,,NaN,,,,0 / 0,2986507,2018-08-11 09:28:13:445
-1.267,-0.475,9.8324,-1.2478,-0.4743,9.7154,0.006,0.0017,0.0037,-0.001,0.0007,-0.0005,80,-28.21,-39.98,-42.14,141.6,2.77,7.32,5,20.075,,,,NaN,,,,0 / 0,2987007,2018-08-11 09:28:13:945
-1.273,-0.4833,9.8552,-1.2488,-0.4741,9.7153,0.0003,0.0014,-0.0035,0.0003,0.0007,-0.0005,80,-28.71,-39.09,-41.82,140.09,2.77,7.32,5,29.481,,,,NaN,,,,0 / 0,2987508,2018-08-11 09:28:14:446
-1.2646,-0.4857,9.8468,-1.2466,-0.475,9.7155,-0.0063,-0.0043,0.0052,0.0003,-0.0005,-0.0005,80,-28.87,-39.13,-39.76,140.24,2.77,7.31,5,28.287,,,,NaN,,,,0 / 0,2988007,2018-08-11 09:28:14:945
-1.2538,-0.4845,9.8588,-1.2485,-0.4755,9.7152,-0.0061,0.0033,0.0068,-0.001,0.0007,-0.0005,80,-29.07,-40.35,-38.3,141.07,2.78,7.32,5,23.187,,,,NaN,,,,0 / 0,2988507,2018-08-11 09:28:15:445
-1.2407,-0.4678,9.8576,-1.2417,-0.4703,9.7163,0.0178,0.0093,0.0057,0.0003,0.0007,-0.0005,80,-29.62,-40.6,-40.37,140.78,2.76,7.29,5,27.473,,,,NaN,,,,0 / 0,2989008,2018-08-11 09:28:15:946
-1.2598,-0.4833,9.8444,-1.2426,-0.4723,9.7161,-0.0001,-0.0045,0.0064,0.0003,0.0007,-0.0005,80,-28.92,-40.91,-39.79,141.59,2.76,7.29,5,25.069,,,,NaN,,,,0 / 0,2989507,2018-08-11 09:28:16:445
-1.2574,-0.4833,9.8456,-1.246,-0.4727,9.7157,0.006,-0.0022,0.0039,0.0003,-0.0005,-0.0005,80,-28.89,-39.4,-40.94,140.17,2.76,7.31,5,23.431,,,,NaN,,,,0 / 0,2990007,2018-08-11 09:28:16:945
-1.2766,-0.4798,9.8516,-1.2476,-0.4735,9.7154,-0.0019,0.0005,-0.0032,0.0003,0.0007,-0.0005,80,-28.86,-38.83,-39.75,140.24,2.77,7.31,5,22.078,,,,NaN,,,,0 / 0,2990507,2018-08-11 09:28:17:445
-1.2646,-0.4821,9.86,-1.2431,-0.4715,9.7161,-0.0034,-0.0059,0.004,0.0003,0.0007,-0.0005,80,-29.05,-39.75,-38.29,141.08,2.75,7.29,5,29.045,,,,NaN,,,,0 / 0,2991007,2018-08-11 09:28:17:945
-1.2694,-0.4845,9.8468,-1.2463,-0.47,9.7158,-0.0039,0.0044,-0.018,0.0003,0.0007,-0.0005,80,-28.75,-40.6,-40.67,141.51,2.75,7.3,5,27.982,,,,NaN,,,,0 / 0,2991508,2018-08-11 09:28:18:446
-1.2634,-0.4762,9.8324,-1.2462,-0.4743,9.7156,-0.0032,-0.0019,-0.0107,-0.001,0.0007,-0.0017,80,-28.18,-39.75,-38.59,141.84,2.77,7.31,5,37.216,,,,NaN,,,,0 / 0,2992006,2018-08-11 09:28:18:944
-1.2431,-0.4786,9.86,-1.246,-0.4688,9.7159,0.0136,-0.0019,0.0048,0.0003,-0.0005,-0.0005,80,-28.54,-39.7,-40.95,140.83,2.74,7.32,5,21.904,,,,NaN,,,,0 / 0,2992507,2018-08-11 09:28:19:445
-1.261,-0.4845,9.8336,-1.2466,-0.4721,9.7156,-0.0089,0.0078,0.0006,-0.001,0.0007,0.0007,80,-29.24,-40.04,-38.59,140.99,2.76,7.31,5,20.173,,,,NaN,,,,0 / 0,2993007,2018-08-11 09:28:19:945
-1.2515,-0.4845,9.8671,-1.2444,-0.4731,9.7159,-0.0052,0.0018,-0.0019,0.0003,0.0007,-0.0005,80,-28.55,-40,-40.96,140.86,2.77,7.3,5,22.641,,,,NaN,,,,0 / 0,2993507,2018-08-11 09:28:20:445
-1.2694,-0.4833,9.8576,-1.2432,-0.4749,9.7159,0.002,-0.0023,0.0038,0.0003,0.0007,0.0007,80,-28.35,-39.11,-40.65,141.02,2.77,7.29,5,20.607,,,,NaN,,,,0 / 0,2994007,2018-08-11 09:28:20:945
-1.2634,-0.4857,9.848,-1.2406,-0.4724,9.7164,-0.0024,0.0012,0.0072,-0.001,0.0007,-0.0005,80,-28.7,-38.79,-41.82,140.11,2.76,7.27,5,20.311,,,,NaN,,,,0 / 0,2994507,2018-08-11 09:28:21:445
-1.2634,-0.4762,9.8456,-1.2467,-0.476,9.7154,-0.002,-0.0128,-0.0048,0.0003,-0.0005,-0.0005,80,-28.91,-40.3,-40.96,140.85,2.76,7.31,5,21.072,,,,NaN,,,,0 / 0,2995007,2018-08-11 09:28:21:945
-1.2658,-0.4738,9.848,-1.2447,-0.4761,9.7157,-0.0015,0.0103,-0.0032,-0.001,-0.0005,-0.0005,80,-28.7,-39.11,-40.64,140.18,2.79,7.3,5,23.29,,,,NaN,,,,0 / 0,2995507,2018-08-11 09:28:22:445
-1.2646,-0.4809,9.8396,-1.2469,-0.472,9.7156,0.0004,-0.0123,0.0006,-0.001,0.0007,-0.0005,80,-28.51,-39.13,-39.76,140.23,2.75,7.31,5,21.655,,,,NaN,,,,0 / 0,2996007,2018-08-11 09:28:22:945
-1.2479,-0.4714,9.8528,-1.2481,-0.4753,9.7153,-0.0016,-0.0042,0.0009,-0.001,-0.0005,-0.0017,80,-29.06,-39.41,-40.65,140.17,2.78,7.32,5,19.733,,,,NaN,,,,0 / 0,2996507,2018-08-11 09:28:23:445
-1.2766,-0.4774,9.8444,-1.2473,-0.4727,9.7155,-0.0062,-0.0004,-0.0017,-0.001,0.0007,-0.0005,80,-29.26,-40.32,-39.78,140.92,2.76,7.31,5,21.58,,,,NaN,,,,0 / 0,2997006,2018-08-11 09:28:23:944
-1.2419,-0.4798,9.8707,-1.2415,-0.4775,9.716,0.0001,0.0058,-0.0031,-0.001,-0.0005,-0.0017,80,-29.08,-40.3,-40.66,140.87,2.79,7.28,5,20.155,,,,NaN,,,,0 / 0,2997507,2018-08-11 09:28:24:445
-1.2527,-0.4821,9.86,-1.2449,-0.4744,9.7157,-0.0027,-0.0001,-0.0159,0.0003,0.0007,-0.0005,80,-28.34,-39.45,-38.88,141.17,2.77,7.3,5,24.482,,,,NaN,,,,0 / 0,2998006,2018-08-11 09:28:24:944
-1.2634,-0.4678,9.8504,-1.242,-0.4716,9.7162,0.0022,0.0011,-0.0043,0.0003,-0.0005,-0.0005,80,-29.27,-40.6,-40.37,141.59,2.76,7.29,5,24.653,,,,NaN,,,,0 / 0,2998507,2018-08-11 09:28:25:445
-1.2467,-0.4726,9.8624,-1.2424,-0.4745,9.7161,0.0024,0.0037,0.0031,0.0003,-0.0005,-0.0005,80,-27.98,-39.13,-40.06,141.1,2.78,7.29,5,20.49,,,,NaN,,,,0 / 0,2999007,2018-08-11 09:28:25:945
-1.2658,-0.4762,9.854,-1.2451,-0.4703,9.7159,-0.0108,0.001,-0.0001,0.0003,-0.0005,-0.0005,80,-28.36,-39.71,-40.66,141.69,2.75,7.29,5,22.621,,,,NaN,,,,0 / 0,2999507,2018-08-11 09:28:26:445
-1.2491,-0.4821,9.8719,-1.2393,-0.4701,9.7167,-0.0068,-0.0015,0.0017,-0.001,-0.0005,-0.0005,80,-28.34,-38.81,-40.64,141.02,2.75,7.27,5,23.389,,,,NaN,,,,0 / 0,3000006,2018-08-11 09:28:26:944
-1.2646,-0.4774,9.854,-1.2396,-0.4711,9.7166,-0.0066,-0.0011,-0.002,0.0003,-0.0005,-0.0005,80,-28.89,-39.71,-40.36,140.94,2.75,7.27,5,20.361,,,,NaN,,,,0 / 0,3000507,2018-08-11 09:28:27:445
-1.2574,-0.4762,9.8564,-1.2429,-0.468,9.7163,0.011,0.0086,0.0027,0.0003,-0.0005,-0.0005,80,-29.6,-40.01,-39.77,140.1,2.74,7.29,5,26.898,,,,NaN,,,,0 / 0,3001007,2018-08-11 09:28:27:945
-1.2538,-0.4726,9.8552,-1.246,-0.4716,9.7157,0.0071,0.0034,0.0013,-0.001,0.0007,-0.0005,80,-28.36,-39.41,-40.65,141,2.76,7.31,5,24.392,,,,NaN,,,,0 / 0,3001506,2018-08-11 09:28:28:444
-1.2742,-0.475,9.8528,-1.2456,-0.4725,9.7157,-0.0101,0.0037,0.0004,-0.001,-0.0005,-0.0005,80,-29.24,-40.05,-38,141.07,2.76,7.3,5,20.743,,,,NaN,,,,0 / 0,3002007,2018-08-11 09:28:28:945
-1.2706,-0.4869,9.848,-1.2434,-0.4738,9.716,-0.0063,-0.0048,-0.0094,-0.001,0.0007,-0.0005,80,-28.35,-39.11,-40.65,141.02,2.76,7.29,5,20.277,,,,NaN,,,,0 / 0,3002507,2018-08-11 09:28:29:445
-1.2562,-0.4809,9.866,-1.2471,-0.4723,9.7156,-0.0004,-0.0035,0.0019,0.0003,-0.0005,-0.0005,80,-28.54,-40.01,-40.37,140.91,2.76,7.32,5,22.856,,,,NaN,,,,0 / 0,3003007,2018-08-11 09:28:29:945
-1.2622,-0.4809,9.8432,-1.2418,-0.4764,9.716,-0.0046,0.0004,-0.0089,-0.001,0.0007,-0.0005,80,-29.44,-39.99,-41.25,140.87,2.78,7.28,5,24.356,,,,NaN,,,,0 / 0,3003506,2018-08-11 09:28:30:444
-1.2586,-0.4774,9.8468,-1.2454,-0.4762,9.7156,0.0047,0.0064,-0.0046,-0.001,0.0007,-0.0005,80,-29.6,-40.01,-39.77,140.12,2.79,7.31,5,22.345,,,,NaN,,,,0 / 0,3004007,2018-08-11 09:28:30:945
-1.2562,-0.4821,9.848,-1.2416,-0.4752,9.7161,-0.0114,-0.0014,-0.009,0.0003,0.0007,-0.0005,80,-28.88,-39.73,-39.18,141.01,2.78,7.28,5,25.132,,,,NaN,,,,0 / 0,3004507,2018-08-11 09:28:31:445
-1.2694,-0.4881,9.8528,-1.2383,-0.4707,9.7168,-0.0083,-0.0065,-0.0037,0.0003,-0.0005,-0.0005,80,-28.9,-39.7,-40.95,140.87,2.75,7.26,5,20.922,,,,NaN,,,,0 / 0,3005006,2018-08-11 09:28:31:944
-1.273,-0.4893,9.8504,-1.2402,-0.4715,9.7165,-0.0008,-0.0033,0.0013,0.0003,-0.0005,-0.0005,80,-28.51,-39.13,-39.76,140.25,2.75,7.27,5,17.855,,,,NaN,,,,0 / 0,3005506,2018-08-11 09:28:32:444
-1.2706,-0.475,9.8444,-1.2427,-0.478,9.7158,-0.0101,0.0004,-0.0007,0.0003,0.0007,-0.0005,80,-29.05,-39.11,-40.64,140.2,2.79,7.27,5,20.053,,,,NaN,,,,0 / 0,3006007,2018-08-11 09:28:32:945
-1.2718,-0.4845,9.8552,-1.2463,-0.4733,9.7156,-0.0021,0.0008,0.0018,0.0003,0.0007,-0.0005,80,-28.9,-40.01,-40.36,140.92,2.77,7.31,5,21.052,,,,NaN,,,,0 / 0,3006507,2018-08-11 09:28:33:445
-1.273,-0.4798,9.8516,-1.2455,-0.4721,9.7158,-0.0065,-0.0004,-0.0042,0.0003,-0.0005,-0.0005,80,-28.18,-39.43,-39.77,141.08,2.76,7.3,5,22.938,,,,NaN,,,,0 / 0,3007007,2018-08-11 09:28:33:945
-1.2479,-0.475,9.8289,-1.2471,-0.474,9.7155,-0.0109,0.0014,-0.0089,0.0003,0.0007,-0.0005,80,-28.36,-39.71,-40.66,141.68,2.77,7.31,5,20.671,,,,NaN,,,,0 / 0,3007507,2018-08-11 09:28:34:445
-1.2574,-0.463,9.8671,-1.2421,-0.4729,9.7162,0.0042,0.0133,0.0143,0.0003,0.0007,0.0007,80,-29.46,-40.89,-40.67,141.53,2.77,7.29,5,24.454,,,,NaN,,,,0 / 0,3008008,2018-08-11 09:28:34:946
-1.2598,-0.4762,9.8564,-1.2433,-0.4722,9.716,-0.0021,-0.0044,-0.0081,0.0003,0.0007,-0.0005,80,-29.08,-40,-40.66,140.86,2.76,7.29,5,21.584,,,,NaN,,,,0 / 0,3008507,2018-08-11 09:28:35:445
-1.2706,-0.475,9.854,-1.2451,-0.4757,9.7156,-0.0032,0.0032,0.007,0.0003,0.0007,-0.0005,80,-29.05,-39.43,-39.47,140.32,2.78,7.3,5,22.463,,,,NaN,,,,0 / 0,3009007,2018-08-11 09:28:35:945
-1.2646,-0.4714,9.8528,-1.2428,-0.4725,9.7161,0.0174,0.0132,0.0009,-0.001,0.0007,-0.0017,80,-28.18,-39.1,-41.53,140.93,2.78,7.32,5,21.148,,,,NaN,,,,0 / 0,3009507,2018-08-11 09:28:36:445
-1.2718,-0.4845,9.8552,-1.2475,-0.476,9.7153,-0.0074,-0.0048,0.001,0.0003,-0.0005,-0.0005,80,-28.7,-38.49,-41.81,139.4,2.78,7.31,5,21.442,,,,NaN,,,,0 / 0,3010006,2018-08-11 09:28:36:944
-1.2634,-0.4774,9.8408,-1.2486,-0.4763,9.7152,-0.0047,0.0009,-0.0004,0.0003,-0.0005,-0.0005,80,-28.54,-39.7,-40.95,140.85,2.79,7.32,5,22.6,,,,NaN,,,,0 / 0,3010507,2018-08-11 09:28:37:445
-1.273,-0.4798,9.8564,-1.2435,-0.4741,9.7159,-0.0049,-0.0085,0.0003,0.0003,0.0007,-0.0005,80,-29.62,-40.61,-39.78,140.78,2.77,7.29,5,20.539,,,,NaN,,,,0 / 0,3011007,2018-08-11 09:28:37:945
-1.2562,-0.4666,9.8576,-1.2414,-0.473,9.7163,-0.0027,0.0113,-0.0027,0.0003,0.0007,-0.0005,80,-28.89,-39.4,-40.94,140.19,2.77,7.28,5,21.04,,,,NaN,,,,0 / 0,3011507,2018-08-11 09:28:38:445
-1.2515,-0.4893,9.8636,-1.246,-0.4718,9.7157,0.002,0.0088,0.0034,-0.001,-0.0005,-0.0005,80,-29.25,-40.02,-39.77,140.92,2.76,7.31,5,22.867,,,,NaN,,,,0 / 0,3012007,2018-08-11 09:28:38:945
-1.2838,-0.4821,9.8456,-1.2483,-0.4741,9.7153,-0.0169,-0.0009,-0.0041,0.0003,-0.0005,-0.0005,80,-29.8,-40.89,-40.67,140.7,2.77,7.31,5,22.453,,,,NaN,,,,0 / 0,3012507,2018-08-11 09:28:39:445
-1.2586,-0.4702,9.8492,-1.2504,-0.4721,9.7151,0.0012,0.004,0.0026,0.0003,-0.0005,-0.0005,80,-29.07,-39.7,-40.65,140.83,2.76,7.34,5,21.299,,,,NaN,,,,0 / 0,3013008,2018-08-11 09:28:39:946
-1.2574,-0.4738,9.854,-1.2489,-0.4711,9.7154,0.0022,-0.0078,-0.0045,0.0003,-0.0005,-0.0005,80,-29.08,-40,-40.66,140.83,2.75,7.33,5,23.843,,,,NaN,,,,0 / 0,3013506,2018-08-11 09:28:40:444
-1.2646,-0.4857,9.8396,-1.2438,-0.4724,9.716,0.0065,-0.0006,0.0084,0.0003,-0.0005,-0.0017,30,-29.96,-40.61,-39.78,140.77,2.76,7.31,5,20.629,,,,NaN,,,,0 / 0,3014007,2018-08-11 09:28:40:945
-1.2718,-0.4738,9.8564,-1.2441,-0.4717,9.716,-0.0102,0.0034,0.0041,-0.001,-0.0005,-0.0005,80,-28.71,-39.41,-40.65,140.17,2.76,7.29,5,21.581,,,,NaN,,,,0 / 0,3014507,2018-08-11 09:28:41:445
-1.2574,-0.4702,9.8444,-1.2416,-0.4732,9.7162,0.0016,0.0057,0.0016,-0.001,0.0007,-0.0005,80,-28.89,-39.72,-39.77,140.94,2.77,7.28,5,20.435,,,,NaN,,,,0 / 0,3015006,2018-08-11 09:28:41:944
-1.2467,-0.4786,9.8612,-1.2466,-0.4749,9.7155,0.0036,0.0016,-0.001,-0.001,0.0007,-0.0005,80,-29.26,-40.3,-40.37,140.92,2.78,7.31,5,23.378,,,,NaN,,,,0 / 0,3015507,2018-08-11 09:28:42:445
-1.2658,-0.4833,9.8456,-1.2435,-0.4716,9.7161,-0.0023,-0.0006,-0.0016,-0.001,0.0007,-0.0005,80,-29.42,-39.4,-40.64,140.17,2.75,7.29,5,23.796,,,,NaN,,,,0 / 0,3016007,2018-08-11 09:28:42:945
-1.2419,-0.4654,9.8588,-1.2418,-0.4726,9.7162,0.0118,0.0075,0.0067,0.0003,-0.0005,-0.0005,30,-28.72,-39.71,-40.65,140.86,2.76,7.28,5,24.332,,,,NaN,,,,0 / 0,3016507,2018-08-11 09:28:43:445
-1.2634,-0.4833,9.8492,-1.245,-0.4748,9.7157,-0.0065,-0.0122,-0.0054,-0.001,0.0007,-0.0005,30,-29.06,-39.41,-40.65,140.18,2.78,7.3,5,22.858,,,,NaN,,,,0 / 0,3017006,2018-08-11 09:28:43:944
-1.2658,-0.4857,9.8564,-1.2425,-0.4749,9.716,0.0039,0.0121,0.0006,0.0003,0.0007,-0.0005,30,-28.01,-39.7,-41.25,141.7,2.8,7.29,5,21.464,,,,NaN,,,,0 / 0,3017507,2018-08-11 09:28:44:445
-1.2586,-0.4738,9.8408,-1.2473,-0.4761,9.7153,-0.003,0.0036,-0.0091,0.0003,-0.0005,-0.0005,30,-28.54,-40.02,-39.78,140.93,2.79,7.31,5,20.907,,,,NaN,,,,0 / 0,3018008,2018-08-11 09:28:44:946
-1.2503,-0.4654,9.8552,-1.2465,-0.4709,9.7157,-0.0023,-0.0018,0.0025,0.0003,0.0007,-0.0005,30,-29.08,-39.99,-41.25,140.85,2.75,7.3,5,22.086,,,,NaN,,,,0 / 0,3018507,2018-08-11 09:28:45:445
-1.267,-0.4798,9.842,-1.2478,-0.4738,9.7154,-0.0024,0.0006,-0.0051,0.0003,0.0007,-0.0005,30,-29.06,-39.39,-41.24,140.17,2.77,7.32,5,20.536,,,,NaN,,,,0 / 0,3019007,2018-08-11 09:28:45:945
-1.2574,-0.457,9.854,-1.2447,-0.4725,9.7159,0.0094,0.0051,0.0173,0.0003,0.0007,-0.0005,30,-30.3,-40,-40.35,140.11,2.77,7.31,5,19.948,,,,NaN,,,,0 / 0,3019507,2018-08-11 09:28:46:445
-1.2622,-0.4786,9.8468,-1.2407,-0.4716,9.7164,0.0042,0.0029,0.0019,0.0003,-0.0005,-0.0005,30,-29.61,-40.62,-39.19,140.86,2.76,7.28,5,24.264,,,,NaN,,,,0 / 0,3020007,2018-08-11 09:28:46:945
-1.2562,-0.4702,9.8636,-1.24,-0.4731,9.7164,-0.0025,0.0069,0.0025,-0.001,0.0007,-0.0005,80,-28.89,-39.72,-39.77,140.94,2.77,7.27,5,20.439,,,,NaN,,,,0 / 0,3020507,2018-08-11 09:28:47:445
-1.2694,-0.4762,9.854,-1.2432,-0.475,9.7159,-0.0075,0.0034,0.0003,-0.001,0.0007,-0.0005,80,-29.6,-40.01,-39.77,140.12,2.78,7.28,5,22.589,,,,NaN,,,,0 / 0,3021006,2018-08-11 09:28:47:944
-1.2538,-0.4845,9.8624,-1.2424,-0.4754,9.716,0.0071,-0.0014,0.0087,0.0003,0.0007,-0.0017,30,-28.87,-39.13,-39.76,140.26,2.78,7.29,5,24.85,,,,NaN,,,,0 / 0,3021507,2018-08-11 09:28:48:445
-1.261,-0.4714,9.86,-1.2407,-0.4709,9.7164,-0.0123,-0.0058,-0.0016,0.0003,0.0007,-0.0005,30,-28.9,-39.7,-40.95,140.87,2.74,7.25,5,22.248,,,,NaN,,,,0 / 0,3022007,2018-08-11 09:28:48:945
-1.2586,-0.463,9.8528,-1.2433,-0.4706,9.7161,-0.0007,0.0097,-0.0012,0.0003,-0.0005,-0.0005,30,-28.71,-39.41,-40.65,140.17,2.76,7.29,5,25.494,,,,NaN,,,,0 / 0,3022507,2018-08-11 09:28:49:445
-1.2574,-0.475,9.848,-1.2412,-0.4704,9.7164,0.0085,-0.0003,0.0081,0.0003,-0.0005,-0.0005,30,-28.54,-39.71,-40.36,140.92,2.75,7.29,5,25.333,,,,NaN,,,,0 / 0,3023007,2018-08-11 09:28:49:945
-1.2598,-0.4654,9.8624,-1.2377,-0.4694,9.7169,-0.0089,-0.0007,-0.0015,0.0003,-0.0005,-0.0005,30,-29.08,-40,-40.66,140.87,2.74,7.26,5,22.96,,,,NaN,,,,0 / 0,3023508,2018-08-11 09:28:50:446
-1.2682,-0.4833,9.8432,-1.2435,-0.47,9.7161,-0.0106,-0.0018,-0.0061,-0.001,0.0007,-0.0005,30,-29.43,-39.69,-41.24,140.85,2.74,7.28,5,19.393,,,,NaN,,,,0 / 0,3024007,2018-08-11 09:28:50:945
-1.2574,-0.4869,9.8372,-1.2418,-0.4729,9.7162,0.0024,-0.0053,0.006,0.0003,-0.0005,-0.0005,30,-29.1,-40.91,-40.08,141.6,2.76,7.28,5,20.134,,,,NaN,,,,0 / 0,3024507,2018-08-11 09:28:51:445
-1.2574,-0.4977,9.8528,-1.2451,-0.4763,9.7156,-0.0099,-0.0083,-0.0027,-0.001,0.0007,-0.0005,30,-28.72,-39.71,-40.65,140.86,2.77,7.29,5,21.316,,,,NaN,,,,0 / 0,3025006,2018-08-11 09:28:51:944
-1.2574,-0.4821,9.8468,-1.2442,-0.4753,9.7158,0.0042,-0.0004,-0.0051,0.0003,0.0007,-0.0005,30,-29.08,-40,-40.66,140.86,2.78,7.3,5,23.406,,,,NaN,,,,0 / 0,3025507,2018-08-11 09:28:52:445
-1.2538,-0.469,9.8408,-1.2417,-0.4715,9.7163,0.0077,0.01,-0.0051,0.0003,-0.0005,-0.0005,30,-28.72,-39.71,-40.65,140.86,2.76,7.29,5,21.596,,,,NaN,,,,0 / 0,3026007,2018-08-11 09:28:52:945
-1.2586,-0.4726,9.842,-1.2409,-0.4683,9.7166,-0.0085,-0.006,0.0017,-0.001,0.0007,-0.0005,30,-28.9,-39.7,-40.95,140.86,2.74,7.28,5,22.972,,,,NaN,,,,0 / 0,3026507,2018-08-11 09:28:53:445
-1.261,-0.4845,9.842,-1.245,-0.4714,9.7159,0.0025,-0.0043,-0.0064,0.0003,-0.0005,-0.0005,30,-28.56,-40.6,-40.97,141.51,2.75,7.3,5,21.088,,,,NaN,,,,0 / 0,3027007,2018-08-11 09:28:53:945
-1.273,-0.4821,9.8444,-1.2439,-0.4715,9.716,0.0101,-0.0052,0.0061,0.0003,-0.0005,-0.0005,30,-28.18,-39.74,-39.18,141.83,2.75,7.3,5,22.533,,,,NaN,,,,0 / 0,3027506,2018-08-11 09:28:54:444
-1.2754,-0.4798,9.8492,-1.2428,-0.4687,9.7163,0.0091,0.0025,0.0004,0.0003,-0.0005,-0.0017,30,-28.38,-40.3,-40.67,141.68,2.74,7.29,5,21.36,,,,NaN,,,,0 / 0,3028007,2018-08-11 09:28:54:945
-1.2359,-0.4606,9.8576,-1.2396,-0.4721,9.7165,0.0155,0.0109,0.002,0.0003,-0.0005,-0.0005,30,-28.88,-39.11,-40.35,140.26,2.77,7.28,5,21.478,,,,NaN,,,,0 / 0,3028507,2018-08-11 09:28:55:445
-1.2562,-0.4905,9.86,-1.2353,-0.4731,9.717,-0.0065,-0.0045,0.0006,-0.001,0.0007,-0.0005,30,-29.09,-40.29,-41.25,140.89,2.76,7.24,5,21.538,,,,NaN,,,,0 / 0,3029006,2018-08-11 09:28:55:944
-1.2754,-0.4774,9.8564,-1.2345,-0.4762,9.717,0.0074,-0.0026,0.0014,-0.001,0.0007,-0.0005,30,-29.64,-41.2,-40.38,140.81,2.78,7.25,5,24.588,,,,NaN,,,,0 / 0,3029507,2018-08-11 09:28:56:445
-1.267,-0.4774,9.8468,-1.2412,-0.4745,9.7162,-0.0079,0.0039,-0.0079,-0.001,-0.0005,-0.0005,30,-29.07,-39.69,-41.24,140.87,2.77,7.28,5,24.036,,,,NaN,,,,0 / 0,3030007,2018-08-11 09:28:56:945
-1.2383,-0.4774,9.8647,-1.2413,-0.4722,9.7163,0.0035,-0.0028,0.0033,0.0003,0.0007,-0.0005,30,-28.54,-39.71,-40.36,140.93,2.76,7.28,5,25.509,,,,NaN,,,,0 / 0,3030506,2018-08-11 09:28:57:444
-1.2634,-0.475,9.836,-1.2407,-0.4683,9.7166,0.0015,0.0002,-0.0072,0.0003,-0.0005,-0.0005,30,-28.53,-39.41,-40.35,140.25,2.74,7.28,5,20.02,,,,NaN,,,,0 / 0,3031007,2018-08-11 09:28:57:945
-1.2646,-0.4762,9.8636,-1.2463,-0.4707,9.7157,-0.0012,0.0007,0.0142,0.0003,0.0007,-0.0005,30,-28.7,-39.46,-38.29,140.38,2.75,7.31,5,26.523,,,,NaN,,,,0 / 0,3031507,2018-08-11 09:28:58:445
